event_id,session_id,anonymous_id,article_id,content_version,event_type,occurred_at,received_at,channel,device,client_agent,duration_seconds,scroll_percent
e-04-0152-read_end,s-04-0152,anon-0052-4,guide-map,history-v1,read_end,2026-08-14T09:48:46+08:00,2026-08-14T01:50:05+00:00,home,desktop,browser,319,96
e-00-0146-page_view,s-00-0146,anon-0107-0,guide-account,history-v1,page_view,2026-08-06T18:05:21+08:00,2026-08-06T10:06:43+00:00,search,desktop,browser,,
e-02-0052-page_view,s-02-0052,anon-0014-2,guide-expense,history-v1,page_view,2026-08-11T19:27:54+08:00,2026-08-11T19:28:12+08:00,search,desktop,browser,,
e-04-0203-page_view,s-04-0203,anon-0124-4,guide-map,history-v1,page_view,2026-08-04T13:48:22+08:00,2026-08-04T05:49:18+00:00,campaign,mobile,browser,,
e-04-0014-page_view,s-04-0014,anon-0046-4,guide-map,history-v1,page_view,2026-08-11T22:07:07+08:00,2026-08-11T14:08:13+00:00,home,mobile,browser,,
e-03-0013-read_end,s-03-0013,anon-0056-3,guide-remote,history-v1,read_end,2026-08-02T16:20:51+08:00,2026-08-02T16:21:41+08:00,direct,desktop,browser,63,95
crawler-0010,crawl-10,,guide-map,history-v1,page_view,2026-08-08T16:02:10+00:00,2026-08-08T16:02:11+00:00,campaign,desktop,crawler,,
e-04-0079-read_end,s-04-0079,anon-0106-4,guide-map,history-v1,read_end,2026-08-14T12:23:37+08:00,2026-08-14T12:24:57+08:00,search,desktop,browser,67,82
e-04-0308-page_view,s-04-0308,anon-0124-4,guide-map,history-v1,page_view,2026-08-07T14:18:28+08:00,2026-08-07T06:18:41+00:00,search,desktop,browser,,
e-00-0130-read_end,s-00-0130,anon-0072-0,guide-account,history-v1,read_end,2026-08-08T18:20:48+08:00,2026-08-08T18:21:58+08:00,home,desktop,browser,126,77
e-04-0037-page_view,s-04-0037,anon-0003-4,guide-map,history-v1,page_view,2026-08-14T07:31:59+08:00,2026-08-14T07:32:10+08:00,campaign,mobile,browser,,
e-01-0108-page_view,s-01-0108,anon-0065-1,guide-device,history-v1,page_view,2026-08-01T00:27:53+00:00,2026-08-01T08:29:16+08:00,direct,desktop,browser,,
e-00-0100-read_end,s-00-0100,anon-0072-0,guide-account,history-v1,read_end,2026-08-12T06:10:07+08:00,2026-08-12T06:11:07+08:00,campaign,desktop,browser,119,47
crawler-0156,crawl-156,,guide-map,history-v1,page_view,2026-08-08T16:33:48+00:00,2026-08-08T16:33:49+00:00,campaign,desktop,crawler,,
crawler-0007,crawl-7,,guide-map,history-v1,page_view,2026-08-08T16:01:31+00:00,2026-08-08T16:01:32+00:00,campaign,desktop,crawler,,
e-03-0089-read_end,s-03-0089,anon-0064-3,guide-remote,history-v1,read_end,2026-08-12T12:20:29+08:00,2026-08-12T04:21:33+00:00,home,desktop,browser,201,7
e-00-0018-page_view,s-00-0018,anon-0013-0,guide-account,history-v1,page_view,2026-08-04T22:12:59+00:00,2026-08-05T06:14:09+08:00,search,desktop,browser,,
e-01-0101-read_end,s-01-0101,anon-0049-1,guide-device,history-v1,read_end,2026-08-10T08:37:06+08:00,2026-08-10T00:37:17+00:00,campaign,mobile,browser,154,27
e-01-0181-page_view,s-01-0181,anon-0085-1,guide-device,history-v1,page_view,2026-08-12T02:17:36+08:00,2026-08-12T02:18:49+08:00,search,desktop,browser,,
e-05-0099-page_view,s-05-0099,anon-0010-5,guide-permission,history-v1,page_view,2026-08-03T06:26:34+00:00,2026-08-03T14:27:47+08:00,search,desktop,browser,,
e-03-0118-page_view,s-03-0118,anon-0061-3,guide-remote,history-v1,page_view,2026-08-06T12:18:04+08:00,2026-08-06T12:19:16+08:00,home,mobile,browser,,
e-04-0166-page_view,s-04-0166,anon-0159-4,guide-map,history-v1,page_view,2026-08-03T17:14:27+08:00,2026-08-03T17:15:47+08:00,search,mobile,browser,,
e-03-0040-read_end,s-03-0040,anon-0066-3,guide-remote,history-v1,read_end,2026-08-08T17:44:02+08:00,2026-08-08T17:44:44+08:00,search,mobile,browser,13,30
e-06-0032-page_view,s-06-0032,anon-0023-6,guide-faq,history-v1,page_view,2026-08-13T23:55:58+08:00,2026-08-13T15:56:18+00:00,search,mobile,browser,,
e-04-0240-page_view,s-04-0240,anon-0020-4,guide-map,history-v1,page_view,2026-08-10T10:36:50+00:00,2026-08-10T18:37:39+08:00,search,desktop,browser,,
e-05-0048-page_view,s-05-0048,anon-0012-5,guide-permission,history-v1,page_view,2026-08-09T05:52:04+00:00,2026-08-09T13:53:16+08:00,search,desktop,browser,,
e-07-0000-read_end,s-07-0000,anon-0005-7,guide-search,history-v1,read_end,2026-08-13T21:31:16+00:00,2026-08-15T05:31:55+08:00,home,desktop,browser,26,8
e-02-0047-page_view,s-02-0047,anon-0018-2,guide-expense,history-v1,page_view,2026-08-02T09:38:41+08:00,2026-08-02T01:39:02+00:00,home,desktop,browser,,
e-00-0199-read_end,s-00-0199,anon-0118-0,guide-account,history-v1,read_end,2026-08-11T01:19:33+08:00,2026-08-11T01:19:55+08:00,campaign,desktop,browser,236,25
e-03-0028-read_end,s-03-0028,anon-0048-3,guide-remote,history-v1,read_end,2026-08-04T17:24:15+08:00,2026-08-04T17:25:02+08:00,search,mobile,browser,35,20
e-00-0172-read_end,s-00-0172,,guide-account,history-v1,read_end,2026-08-03T11:10:48+08:00,2026-08-03T11:12:04+08:00,search,desktop,browser,120,94
e-00-0255-read_end,s-00-0255,anon-0065-0,guide-account,history-v1,read_end,2026-08-08T04:51:35+00:00,2026-08-08T12:53:04+08:00,search,desktop,browser,113,12
crawler-0170,crawl-170,,guide-map,history-v1,page_view,2026-08-08T16:36:50+00:00,2026-08-08T16:36:51+00:00,campaign,desktop,crawler,,
e-04-0313-read_end,s-04-0313,anon-0125-4,guide-map,history-v1,read_end,2026-08-01T02:16:59+08:00,2026-08-01T02:17:31+08:00,search,mobile,browser,129,87
crawler-0076,crawl-76,,guide-map,history-v1,page_view,2026-08-08T16:16:28+00:00,2026-08-08T16:16:29+00:00,campaign,desktop,crawler,,
e-04-0065-read_end,s-04-0065,anon-0035-4,guide-map,history-v1,read_end,2026-08-08T21:37:34+08:00,2026-08-08T13:37:43+00:00,campaign,mobile,browser,104,73
e-03-0016-page_view,s-03-0016,anon-0076-3,guide-remote,history-v1,page_view,2026-08-06T03:53:58+08:00,2026-08-06T03:54:38+08:00,search,desktop,browser,,
e-01-0010-page_view,s-01-0010,anon-0046-1,guide-device,history-v1,page_view,2026-08-09T01:09:06+08:00,2026-08-09T01:09:23+08:00,home,desktop,browser,,
e-00-0171-read_end,s-00-0171,anon-0074-0,guide-account,history-v1,read_end,2026-08-08T10:44:35+00:00,2026-08-08T18:45:51+08:00,campaign,desktop,browser,88,89
e-04-0308-read_end,s-04-0308,anon-0124-4,guide-map,history-v1,read_end,2026-08-07T14:20:11+08:00,2026-08-07T06:21:40+00:00,search,desktop,browser,103,43
crawler-0111,crawl-111,,guide-map,history-v1,page_view,2026-08-08T16:24:03+00:00,2026-08-08T16:24:04+00:00,campaign,desktop,crawler,,
e-00-0141-page_view,s-00-0141,anon-0078-0,guide-account,history-v1,page_view,2026-08-12T02:20:16+00:00,2026-08-12T10:20:36+08:00,home,mobile,browser,,
e-04-0002-page_view,s-04-0002,anon-0157-4,guide-map,history-v1,page_view,2026-08-09T21:22:11+08:00,2026-08-09T13:23:03+00:00,search,desktop,browser,,
e-01-0027-read_end,s-01-0027,anon-0086-1,guide-device,history-v1,read_end,2026-08-13T20:43:44+00:00,2026-08-14T04:44:32+08:00,search,desktop,browser,3,21
e-00-0072-page_view,s-00-0072,,guide-account,history-v1,page_view,2026-08-08T06:03:12+00:00,2026-08-08T14:03:14+08:00,home,mobile,browser,,
e-05-0026-page_view,s-05-0026,anon-0022-5,guide-permission,history-v1,page_view,2026-08-11T00:32:16+08:00,2026-08-10T16:32:59+00:00,search,mobile,browser,,
e-01-0129-page_view,s-01-0129,anon-0004-1,guide-device,history-v1,page_view,2026-08-11T13:03:18+00:00,2026-08-11T21:03:50+08:00,home,mobile,browser,,
e-05-0024-read_end,s-05-0024,anon-0029-5,guide-permission,history-v1,read_end,2026-08-13T17:05:28+00:00,2026-08-14T01:05:29+08:00,search,mobile,browser,70,34
crawler-0075,crawl-75,,guide-map,history-v1,page_view,2026-08-08T16:16:15+00:00,2026-08-08T16:16:16+00:00,campaign,desktop,crawler,,
e-00-0034-page_view,s-00-0034,anon-0096-0,guide-account,history-v1,page_view,2026-08-10T10:57:08+08:00,2026-08-10T10:57:17+08:00,search,mobile,browser,,
e-06-0022-read_end,s-06-0022,anon-0007-6,guide-faq,history-v1,read_end,2026-08-06T00:34:03+08:00,2026-08-06T00:35:12+08:00,home,mobile,browser,97,25
e-04-0015-page_view,s-04-0015,anon-0026-4,guide-map,history-v1,page_view,2026-08-06T19:59:54+00:00,2026-08-07T04:00:11+08:00,direct,mobile,browser,,
e-01-0188-page_view,s-01-0188,anon-0027-1,guide-device,history-v1,page_view,2026-08-04T02:51:05+08:00,2026-08-03T18:51:21+00:00,search,desktop,browser,,
e-04-0070-page_view,s-04-0070,anon-0059-4,guide-map,history-v1,page_view,2026-08-07T17:11:55+08:00,2026-08-07T17:12:29+08:00,search,mobile,browser,,
e-03-0097-read_end,s-03-0097,anon-0001-3,guide-remote,history-v1,read_end,2026-08-09T20:41:01+08:00,2026-08-09T20:41:10+08:00,search,mobile,browser,6,11
e-01-0168-page_view,s-01-0168,anon-0060-1,guide-device,history-v1,page_view,2026-08-05T18:55:24+00:00,2026-08-06T02:56:50+08:00,home,desktop,browser,,
e-06-0015-read_end,s-06-0015,anon-0021-6,guide-faq,history-v1,read_end,2026-08-13T09:12:13+00:00,2026-08-13T17:12:16+08:00,search,desktop,browser,45,80
e-05-0051-page_view,s-05-0051,anon-0037-5,guide-permission,history-v1,page_view,2026-08-03T15:25:56+00:00,2026-08-03T23:27:26+08:00,search,desktop,browser,,
e-04-0106-page_view,s-04-0106,anon-0081-4,guide-map,history-v1,page_view,2026-08-14T17:34:16+08:00,2026-08-14T17:34:38+08:00,search,desktop,browser,,
e-04-0074-page_view,s-04-0074,anon-0074-4,guide-map,history-v1,page_view,2026-08-11T07:30:35+08:00,2026-08-10T23:30:46+00:00,campaign,mobile,browser,,
e-03-0088-read_end,s-03-0088,anon-0038-3,guide-remote,history-v1,read_end,2026-08-11T16:02:52+08:00,2026-08-11T16:03:20+08:00,home,mobile,browser,9,28
e-01-0074-read_end,s-01-0074,anon-0080-1,guide-device,history-v1,read_end,2026-08-02T15:14:26+08:00,2026-08-02T07:14:47+00:00,home,mobile,browser,44,75
e-04-0284-page_view,s-04-0284,anon-0063-4,guide-map,history-v1,page_view,2026-08-05T02:29:49+08:00,2026-08-04T18:30:18+00:00,campaign,mobile,browser,,
e-01-0057-page_view,s-01-0057,anon-0063-1,guide-device,history-v1,page_view,2026-08-14T09:48:30+00:00,2026-08-14T17:49:25+08:00,home,mobile,browser,,
e-04-0061-read_end,s-04-0061,anon-0082-4,guide-map,history-v1,read_end,2026-08-12T06:33:19+08:00,2026-08-12T06:33:57+08:00,home,mobile,browser,210,93
e-01-0165-page_view,s-01-0165,anon-0018-1,guide-device,history-v1,page_view,2026-08-03T01:28:42+00:00,2026-08-03T09:29:08+08:00,search,mobile,browser,,
e-06-0052-page_view,s-06-0052,anon-0031-6,guide-faq,history-v1,page_view,2026-08-13T08:40:28+08:00,2026-08-13T08:41:17+08:00,home,desktop,browser,,
e-02-0082-page_view,s-02-0082,anon-0039-2,guide-expense,history-v1,page_view,2026-08-04T13:16:04+08:00,2026-08-05T13:16:56+08:00,home,mobile,browser,,
e-04-0245-read_end,s-04-0245,anon-0016-4,guide-map,history-v1,read_end,2026-08-08T02:20:56+08:00,2026-08-07T18:21:39+00:00,campaign,mobile,browser,188,79
e-04-0021-page_view,s-04-0021,anon-0017-4,guide-map,history-v1,page_view,2026-08-06T15:45:10+00:00,2026-08-06T23:46:23+08:00,campaign,desktop,browser,,
e-04-0084-page_view,s-04-0084,anon-0161-4,guide-map,history-v1,page_view,2026-08-01T03:40:12+00:00,2026-08-01T11:41:09+08:00,campaign,desktop,browser,,
e-04-0286-page_view,s-04-0286,anon-0071-4,guide-map,history-v1,page_view,2026-08-01T16:10:18+08:00,2026-08-01T16:11:34+08:00,search,mobile,browser,,
e-00-0204-read_end,s-00-0204,anon-0040-0,guide-account,history-v1,read_end,2026-08-13T19:21:49+00:00,2026-08-14T03:22:31+08:00,search,desktop,browser,232,94
e-03-0025-page_view,s-03-0025,anon-0055-3,guide-remote,history-v1,page_view,2026-08-01T20:06:12+08:00,2026-08-01T20:06:50+08:00,direct,desktop,browser,,
e-02-0043-read_end,s-02-0043,anon-0030-2,guide-expense,history-v1,read_end,2026-08-03T16:22:46+08:00,2026-08-03T16:23:41+08:00,direct,desktop,browser,170,94
e-04-0120-read_end,s-04-0120,anon-0038-4,guide-map,history-v1,read_end,2026-08-11T01:29:36+00:00,2026-08-11T09:30:05+08:00,search,mobile,browser,197,86
e-02-0070-page_view,s-02-0070,anon-0026-2,guide-expense,history-v1,page_view,2026-08-03T15:00:05+08:00,2026-08-03T15:01:01+08:00,direct,desktop,browser,,
e-04-0004-page_view,s-04-0004,anon-0064-4,guide-map,history-v1,page_view,2026-08-06T12:49:47+08:00,2026-08-06T12:49:54+08:00,search,desktop,browser,,
e-00-0122-read_end,s-00-0122,anon-0115-0,guide-account,history-v1,read_end,2026-08-03T06:15:52+08:00,2026-08-02T22:15:58+00:00,home,desktop,browser,98,9
e-00-0001-read_end,s-00-0001,anon-0030-0,guide-account,history-v1,read_end,2026-08-05T23:40:41+08:00,2026-08-05T23:41:08+08:00,search,mobile,browser,140,95
edge-05,s-00-0002,anon-0031-0,guide-account,history-v1,heartbeat,2026-08-05T04:53:01+08:00,2026-08-04T20:53:44+00:00,search,mobile,browser,91,72
e-00-0229-read_end,s-00-0229,anon-0046-0,guide-account,history-v1,read_end,2026-08-07T09:18:01+08:00,2026-08-07T09:19:08+08:00,search,mobile,browser,124,11
e-01-0107-read_end,s-01-0107,anon-0065-1,guide-device,history-v1,read_end,2026-08-04T23:35:46+08:00,2026-08-04T15:36:47+00:00,search,desktop,browser,114,72
e-04-0003-read_end,s-04-0003,anon-0123-4,guide-map,history-v1,read_end,2026-08-09T12:31:35+00:00,2026-08-09T20:32:38+08:00,search,mobile,browser,149,79
e-04-0024-page_view,s-04-0024,anon-0096-4,guide-map,history-v1,page_view,2026-08-12T12:34:44+00:00,2026-08-12T20:35:44+08:00,campaign,desktop,browser,,
e-03-0121-page_view,s-03-0121,anon-0059-3,guide-remote,history-v1,page_view,2026-08-10T06:05:42+08:00,2026-08-10T06:07:05+08:00,home,mobile,browser,,
e-00-0136-read_end,s-00-0136,,guide-account,history-v1,read_end,2026-08-09T19:07:32+08:00,2026-08-09T19:08:50+08:00,search,desktop,browser,121,36
e-04-0034-read_end,s-04-0034,anon-0034-4,guide-map,history-v1,read_end,2026-08-02T10:24:20+08:00,2026-08-02T10:25:41+08:00,direct,desktop,browser,143,81
e-01-0030-read_end,s-01-0030,anon-0089-1,guide-device,history-v1,read_end,2026-08-09T13:13:18+00:00,2026-08-09T21:14:35+08:00,search,desktop,browser,22,89
e-05-0038-page_view,s-05-0038,anon-0024-5,guide-permission,history-v1,page_view,2026-08-03T11:16:11+08:00,2026-08-03T03:16:14+00:00,search,mobile,browser,,
e-02-0007-read_end,s-02-0007,anon-0010-2,guide-expense,history-v1,read_end,2026-08-10T13:57:42+08:00,2026-08-10T13:58:19+08:00,home,desktop,browser,82,95
e-06-0035-page_view,s-06-0035,anon-0024-6,guide-faq,history-v1,page_view,2026-08-14T17:56:35+08:00,2026-08-14T09:57:04+00:00,search,desktop,browser,,
e-04-0229-page_view,s-04-0229,anon-0059-4,guide-map,history-v1,page_view,2026-08-10T15:29:16+08:00,2026-08-10T15:29:17+08:00,search,desktop,browser,,
e-06-0038-page_view,s-06-0038,anon-0013-6,guide-faq,history-v1,page_view,2026-08-01T17:46:50+08:00,2026-08-01T09:47:32+00:00,search,mobile,browser,,
e-04-0098-read_end,s-04-0098,anon-0007-4,guide-map,history-v1,read_end,2026-08-05T10:58:17+08:00,2026-08-05T02:59:17+00:00,search,mobile,browser,161,73
e-05-0078-page_view,s-05-0078,anon-0011-5,guide-permission,history-v1,page_view,2026-08-14T01:19:53+00:00,2026-08-14T09:20:11+08:00,home,desktop,browser,,
e-06-0007-page_view,s-06-0007,anon-0001-6,guide-faq,history-v1,page_view,2026-08-03T19:15:41+08:00,2026-08-03T19:16:25+08:00,search,mobile,browser,,
