event_id,session_id,anonymous_id,article_id,content_version,event_type,occurred_at,received_at,channel,device,client_agent,duration_seconds,scroll_percent,region
e-05-0094-page_view,s-05-0094,anon-0000-5,guide-permission,history-v1,page_view,2026-08-10T13:22:40+08:00,2026-08-10T13:23:03+08:00,direct,desktop,browser,,,北京
e-04-0111-page_view,s-04-0111,anon-0075-4,guide-map,history-v1,page_view,2026-08-11T02:31:03+00:00,2026-08-11T10:31:10+08:00,search,mobile,browser,,,浙江
e-05-0043-read_end,s-05-0043,anon-0005-5,guide-permission,history-v1,read_end,2026-08-04T03:33:35+08:00,2026-08-04T03:34:21+08:00,campaign,desktop,browser,75,95,上海
crawler-0141,crawl-141,,guide-map,history-v1,page_view,2026-08-08T16:30:33+00:00,2026-08-08T16:30:34+00:00,campaign,desktop,crawler,,,广东
e-04-0199-read_end,s-04-0199,anon-0087-4,guide-map,history-v1,read_end,2026-08-10T19:35:43+08:00,2026-08-10T19:36:42+08:00,campaign,mobile,browser,42,77,江苏
e-01-0096-read_end,s-01-0096,anon-0008-1,guide-device,history-v1,read_end,2026-08-01T01:24:31+00:00,2026-08-01T09:24:36+08:00,search,mobile,browser,29,35,浙江
e-00-0215-read_end,s-00-0215,anon-0066-0,guide-account,history-v1,read_end,2026-08-02T04:44:44+08:00,2026-08-01T20:44:58+00:00,search,mobile,browser,91,35,未知
e-00-0209-read_end,s-00-0209,anon-0006-0,guide-account,history-v1,read_end,2026-08-13T22:31:30+08:00,2026-08-13T14:32:19+00:00,direct,desktop,browser,65,72,江苏
e-04-0211-page_view,s-04-0211,anon-0019-4,guide-map,history-v1,page_view,2026-08-01T01:36:47+08:00,2026-08-01T01:37:16+08:00,search,desktop,browser,,,上海
e-01-0003-read_end,s-01-0003,anon-0025-1,guide-device,history-v1,read_end,2026-08-01T15:12:36+00:00,2026-08-01T23:13:28+08:00,search,mobile,browser,158,7,北京
e-04-0304-page_view,s-04-0304,anon-0015-4,guide-map,history-v1,page_view,2026-08-11T12:20:13+08:00,2026-08-11T12:21:02+08:00,search,desktop,browser,,,广东
e-04-0058-read_end,s-04-0058,anon-0107-4,guide-map,history-v1,read_end,2026-08-11T19:00:24+08:00,2026-08-11T19:01:38+08:00,search,desktop,browser,103,86,广东
e-04-0235-read_end,s-04-0235,anon-0107-4,guide-map,history-v1,read_end,2026-08-12T00:10:53+08:00,2026-08-12T00:12:19+08:00,direct,mobile,browser,102,83,广东
e-03-0064-page_view,s-03-0064,anon-0010-3,guide-remote,history-v1,page_view,2026-08-02T02:55:39+08:00,2026-08-02T02:56:22+08:00,direct,mobile,browser,,,未知
e-02-0040-read_end,s-02-0040,anon-0031-2,guide-expense,history-v1,read_end,2026-08-03T11:08:32+08:00,2026-08-03T11:08:47+08:00,direct,mobile,browser,255,76,江苏
e-04-0126-read_end,s-04-0126,anon-0108-4,guide-map,history-v1,read_end,2026-08-07T21:41:23+00:00,2026-08-08T05:41:37+08:00,direct,mobile,browser,3,77,北京
e-00-0037-read_end,s-00-0037,anon-0073-0,guide-account,history-v1,read_end,2026-08-13T18:32:21+08:00,2026-08-13T18:32:33+08:00,search,desktop,browser,137,100,广东
e-01-0046-page_view,s-01-0046,anon-0016-1,guide-device,history-v1,page_view,2026-08-14T13:01:39+08:00,2026-08-14T13:02:16+08:00,home,desktop,browser,,,江苏
e-03-0050-page_view,s-03-0050,anon-0079-3,guide-remote,history-v1,page_view,2026-08-07T17:57:43+08:00,2026-08-07T09:58:55+00:00,search,desktop,browser,,,江苏
e-02-0093-read_end,s-02-0093,anon-0004-2,guide-expense,history-v1,read_end,2026-08-06T15:52:23+00:00,2026-08-06T23:53:46+08:00,search,mobile,browser,74,95,北京
e-05-0106-read_end,s-05-0106,anon-0009-5,guide-permission,history-v1,read_end,2026-08-05T03:53:33+08:00,2026-08-05T03:54:17+08:00,search,mobile,browser,3,75,浙江
e-04-0291-read_end,s-04-0291,anon-0134-4,guide-map,history-v1,read_end,2026-08-09T15:33:16+00:00,2026-08-09T23:33:43+08:00,home,desktop,browser,233,82,浙江
e-00-0073-read_end,s-00-0073,anon-0044-0,guide-account,history-v1,read_end,2026-08-06T08:12:35+08:00,2026-08-06T08:13:42+08:00,search,mobile,browser,53,28,上海
e-00-0205-read_end,s-00-0205,anon-0126-0,guide-account,history-v1,read_end,2026-08-12T14:59:12+08:00,2026-08-13T14:59:13+08:00,direct,mobile,browser,71,95,江苏
e-04-0188-read_end,s-04-0188,anon-0005-4,guide-map,history-v1,read_end,2026-08-03T12:53:55+08:00,2026-08-03T04:54:31+00:00,direct,mobile,browser,97,98,江苏
e-01-0117-page_view,s-01-0117,anon-0068-1,guide-device,history-v1,page_view,2026-08-06T04:56:59+00:00,2026-08-06T12:57:02+08:00,search,desktop,browser,,,北京
crawler-0032,crawl-32,,guide-map,history-v1,page_view,2026-08-08T16:06:56+00:00,2026-08-08T16:06:57+00:00,campaign,desktop,crawler,,,四川
e-00-0243-page_view,s-00-0243,anon-0086-0,guide-account,history-v1,page_view,2026-08-03T19:08:01+00:00,2026-08-04T03:08:51+08:00,direct,mobile,browser,,,未知
e-04-0134-read_end,s-04-0134,anon-0048-4,guide-map,history-v1,read_end,2026-08-12T12:15:22+08:00,2026-08-12T04:16:18+00:00,campaign,desktop,browser,228,25,四川
e-04-0106-read_end,s-04-0106,anon-0081-4,guide-map,history-v1,read_end,2026-08-14T17:36:01+08:00,2026-08-14T17:37:06+08:00,search,desktop,browser,105,48,北京
e-05-0094-read_end,s-05-0094,anon-0000-5,guide-permission,history-v1,read_end,2026-08-10T13:26:02+08:00,2026-08-10T13:27:29+08:00,direct,desktop,browser,202,100,北京
e-04-0119-page_view,s-04-0119,anon-0038-4,guide-map,history-v1,page_view,2026-08-07T22:44:26+08:00,2026-08-07T14:44:54+00:00,search,desktop,browser,,,上海
e-04-0086-page_view,s-04-0086,anon-0053-4,guide-map,history-v1,page_view,2026-08-13T00:00:01+08:00,2026-08-12T16:00:09+00:00,home,mobile,browser,,,浙江
e-00-0112-read_end,s-00-0112,anon-0075-0,guide-account,history-v1,read_end,2026-08-07T04:03:42+08:00,2026-08-07T04:04:52+08:00,home,mobile,browser,97,72,北京
e-01-0136-read_end,s-01-0136,anon-0039-1,guide-device,history-v1,read_end,2026-08-13T06:22:46+08:00,2026-08-13T06:23:14+08:00,search,mobile,browser,42,72,四川
e-03-0075-page_view,s-03-0075,anon-0069-3,guide-remote,history-v1,page_view,2026-08-01T02:51:21+00:00,2026-08-01T10:51:38+08:00,home,desktop,browser,,,江苏
e-00-0065-page_view,s-00-0065,anon-0093-0,guide-account,history-v1,page_view,2026-08-05T09:49:22+08:00,2026-08-05T01:50:42+00:00,campaign,desktop,browser,,,未知
e-04-0020-page_view,s-04-0020,anon-0016-4,guide-map,history-v1,page_view,2026-08-05T16:01:07+08:00,2026-08-05T08:02:36+00:00,home,desktop,browser,,,浙江
e-03-0008-read_end,s-03-0008,anon-0017-3,guide-remote,history-v1,read_end,2026-08-13T00:23:48+08:00,2026-08-12T16:24:48+00:00,search,desktop,browser,46,77,浙江
e-01-0146-page_view,s-01-0146,anon-0072-1,guide-device,history-v1,page_view,2026-08-14T11:50:52+08:00,2026-08-14T03:52:03+00:00,search,mobile,browser,,,上海
e-05-0024-page_view,s-05-0024,anon-0029-5,guide-permission,history-v1,page_view,2026-08-13T17:04:18+00:00,2026-08-14T01:04:45+08:00,search,mobile,browser,,,四川
e-04-0263-page_view,s-04-0263,anon-0129-4,guide-map,history-v1,page_view,2026-08-06T11:44:18+08:00,2026-08-06T03:44:39+00:00,search,mobile,browser,,,四川
e-01-0021-page_view,s-01-0021,anon-0037-1,guide-device,history-v1,page_view,2026-08-07T15:53:21+00:00,2026-08-07T23:54:42+08:00,direct,desktop,browser,,,四川
e-00-0047-read_end,s-00-0047,anon-0035-0,guide-account,history-v1,read_end,2026-08-09T02:59:32+08:00,2026-08-08T19:00:32+00:00,direct,desktop,browser,162,91,未知
crawler-0051,crawl-51,,guide-map,history-v1,page_view,2026-08-08T16:11:03+00:00,2026-08-08T16:11:04+00:00,campaign,desktop,crawler,,,江苏
e-04-0245-page_view,s-04-0245,anon-0016-4,guide-map,history-v1,page_view,2026-08-08T02:17:48+08:00,2026-08-07T18:18:30+00:00,campaign,mobile,browser,,,浙江
e-00-0196-read_end,s-00-0196,anon-0030-0,guide-account,history-v1,read_end,2026-08-14T11:31:04+08:00,2026-08-14T11:32:23+08:00,campaign,desktop,browser,107,89,江苏
e-03-0060-page_view,s-03-0060,anon-0062-3,guide-remote,history-v1,page_view,2026-08-01T09:51:46+00:00,2026-08-01T17:52:22+08:00,search,desktop,browser,,,北京
e-04-0198-page_view,s-04-0198,anon-0145-4,guide-map,history-v1,page_view,2026-08-02T11:52:37+00:00,2026-08-02T19:54:01+08:00,home,mobile,browser,,,上海
e-05-0030-read_end,s-05-0030,,guide-permission,history-v1,read_end,2026-08-10T15:22:08+00:00,2026-08-10T23:22:18+08:00,direct,desktop,browser,127,52,江苏
crawler-0055,crawl-55,,guide-map,history-v1,page_view,2026-08-08T16:11:55+00:00,2026-08-08T16:11:56+00:00,campaign,desktop,crawler,,,四川
e-00-0029-page_view,s-00-0029,anon-0110-0,guide-account,history-v1,page_view,2026-08-14T00:44:19+08:00,2026-08-13T16:45:26+00:00,search,mobile,browser,,,上海
e-02-0065-page_view,s-02-0065,anon-0026-2,guide-expense,history-v1,page_view,2026-08-05T07:04:28+08:00,2026-08-04T23:04:59+00:00,direct,desktop,browser,,,四川
e-02-0092-read_end,s-02-0092,anon-0029-2,guide-expense,history-v1,read_end,2026-08-02T07:13:34+08:00,2026-08-01T23:14:09+00:00,search,mobile,browser,138,90,上海
e-04-0202-page_view,s-04-0202,anon-0094-4,guide-map,history-v1,page_view,2026-08-05T00:02:08+08:00,2026-08-05T00:02:21+08:00,home,desktop,browser,,,上海
e-03-0022-read_end,s-03-0022,anon-0010-3,guide-remote,history-v1,read_end,2026-08-09T08:32:02+08:00,2026-08-09T08:32:42+08:00,direct,desktop,browser,194,94,未知
e-01-0062-read_end,s-01-0062,anon-0050-1,guide-device,history-v1,read_end,2026-08-06T20:10:34+08:00,2026-08-06T12:11:13+00:00,direct,mobile,browser,40,72,北京
